,open,high,low,close,volume,open_var,high_var,low_var,close_var,volume_var,open_interest
2021-12-09 00:00:00+00:00,50520.0,50874.0,50369.0,50450.0,168164505.3938,,,,,,
2021-12-09 01:00:00+00:00,50450.0,50533.0,50191.0,50230.0,63258088.1773,,,,,,
2021-12-09 02:00:00+00:00,50230.0,50323.0,49666.0,49941.0,154494479.058,,,,,,
2021-12-09 03:00:00+00:00,49941.0,49987.0,49474.0,49574.0,103157033.2535,,,,,,
2021-12-09 04:00:00+00:00,49574.0,49855.0,49486.0,49854.0,68763644.64190122,0.0,0.0,0.0,0.0,-18473284.243798777,51491.2835
2021-12-09 05:00:00+00:00,49854.0,49919.0,49854.0,49875.0,106.34830000000018,,,,,,
